2048 x 2048 sparse matrix, nnz = 7022
(203,779)	3.0
(203,800)	110.0
(203,1063)	9.0
(204,603)	3.0
(204,606)	3.0
(204,779)	3.0
(204,780)	12.0
(204,884)	3.0
(204,985)	6.0
(204,1020)	6.0
(204,1021)	9.0
(204,1044)	12.0
(205,602)	3.0
(205,614)	3.0
(205,783)	9.0
(205,1018)	18.0
(205,1091)	36.0
(206,685)	3.0
(206,783)	16.0
(206,883)	3.0
(206,967)	3.0
(206,968)	3.0
(206,969)	3.0
(206,1046)	3.0
(207,627)	3.0
(207,653)	3.0
(207,685)	3.0
(207,784)	9.0
(207,803)	3.0
(207,961)	6.0
(207,963)	3.0
(207,971)	3.0
(207,975)	100.0
(207,993)	6.0
(207,1092)	3.0
(207,1093)	9.0
(208,602)	3.0
(208,616)	100.0
(208,802)	3.0
(208,805)	9.0
(208,973)	9.0
(208,995)	6.0
(208,999)	23.0
(209,617)	10.0
(209,627)	6.0
(209,651)	3.0
(209,652)	6.0
(209,684)	3.0
(209,789)	10.0
(209,805)	3.0
(209,934)	12.0
(209,1092)	13.0
(210,938)	3.0
(210,1008)	100.0
(210,1009)	3.0
(210,1067)	16.0
(211,684)	3.0
(211,793)	10.0
(211,794)	6.0
(211,795)	3.0
(211,798)	9.0
(211,800)	3.0
(211,801)	3.0
(211,806)	12.0
(211,1004)	3.0
(211,1007)	6.0
(212,802)	3.0
(212,879)	3.0
(212,943)	3.0
(212,961)	6.0
(212,1006)	6.0
(213,683)	3.0
(213,806)	12.0
(213,807)	20.0
(213,946)	16.0
(213,957)	3.0
(213,958)	15.0
(213,963)	13.0
(213,1013)	3.0
(213,1093)	6.0
(214,604)	3.0
(214,618)	10.0
(214,628)	3.0
(214,645)	3.0
(214,683)	3.0
(214,878)	6.0
(214,926)	3.0
(214,932)	3.0
(214,965)	3.0
(214,966)	6.0
(214,1068)	3.0
(214,1070)	9.0
(215,604)	100.0
(215,619)	3.0
(215,675)	3.0
(215,682)	3.0
(215,807)	6.0
(215,877)	106.0
(215,884)	3.0
(215,889)	3.0
(215,967)	15.0
(215,1013)	3.0
(215,1058)	3.0
(216,628)	110.0
(216,674)	3.0
(216,876)	6.0
(216,884)	19.0
(216,887)	3.0
(216,969)	3.0
(216,1013)	3.0
(216,1060)	3.0
(217,619)	13.0
(217,628)	6.0
(217,672)	3.0
(217,807)	13.0
