geometry,time,area_ardida,f
POINT(-8.84178062873798 41.5320469694549),2001-04-16 00:00:00,65.17,27
POINT(-8.84178062873798 41.8621948802187),2001-04-16 00:00:00,3.07,6
POINT(-8.51163271797415 37.5702720402889),2001-04-16 00:00:00,0.0001,1
POINT(-8.51163271797415 38.2305678618166),2001-04-16 00:00:00,0.0053,2
POINT(-8.51163271797415 39.2210115941081),2001-04-16 00:00:00,44.1251,8
POINT(-8.51163271797415 39.8813074156357),2001-04-16 00:00:00,0.0302,3
POINT(-8.51163271797415 40.2114553263995),2001-04-16 00:00:00,1.1401,7
POINT(-8.51163271797415 40.5416032371634),2001-04-16 00:00:00,6.7001,6
POINT(-8.51163271797415 40.8717511479272),2001-04-16 00:00:00,8.68,31
POINT(-8.51163271797415 41.201899058691),2001-04-16 00:00:00,22.38,55
POINT(-8.51163271797415 41.5320469694549),2001-04-16 00:00:00,15.26,26
POINT(-8.51163271797415 41.8621948802187),2001-04-16 00:00:00,109.02,5
POINT(-8.18148480721032 36.9099762187613),2001-04-16 00:00:00,0.5,1
POINT(-8.18148480721032 38.2305678618166),2001-04-16 00:00:00,0.5,1
POINT(-8.18148480721032 39.5511595048719),2001-04-16 00:00:00,0.04,1
POINT(-8.18148480721032 39.8813074156357),2001-04-16 00:00:00,0.9,2
POINT(-8.18148480721032 40.2114553263995),2001-04-16 00:00:00,1.5102,12
POINT(-8.18148480721032 40.5416032371634),2001-04-16 00:00:00,0.6752,12
POINT(-8.18148480721032 40.8717511479272),2001-04-16 00:00:00,0.33,4
POINT(-8.18148480721032 41.201899058691),2001-04-16 00:00:00,11.53,16
POINT(-8.18148480721032 41.5320469694549),2001-04-16 00:00:00,6,3
POINT(-7.8513368964465 39.5511595048719),2001-04-16 00:00:00,0.03,2
POINT(-7.8513368964465 40.2114553263995),2001-04-16 00:00:00,4.5,5
POINT(-7.8513368964465 40.5416032371634),2001-04-16 00:00:00,2.43,4
POINT(-7.8513368964465 40.8717511479272),2001-04-16 00:00:00,34.76,7
POINT(-7.8513368964465 41.201899058691),2001-04-16 00:00:00,7.49,12
POINT(-7.8513368964465 41.5320469694549),2001-04-16 00:00:00,41.59,7
POINT(-7.52118898568267 39.5511595048719),2001-04-16 00:00:00,0.03,1
POINT(-7.52118898568267 39.8813074156357),2001-04-16 00:00:00,1,1
POINT(-7.52118898568267 40.2114553263995),2001-04-16 00:00:00,0.12,2
POINT(-7.52118898568267 40.5416032371634),2001-04-16 00:00:00,9.0,6
POINT(-7.52118898568267 40.8717511479272),2001-04-16 00:00:00,9.96,10
POINT(-7.52118898568267 41.201899058691),2001-04-16 00:00:00,3.30,7
POINT(-7.52118898568267 41.5320469694549),2001-04-16 00:00:00,0.52,3
POINT(-7.19104107491884 39.8813074156357),2001-04-16 00:00:00,0.02,1
POINT(-7.19104107491884 40.2114553263995),2001-04-16 00:00:00,5.0,4
POINT(-7.19104107491884 40.5416032371634),2001-04-16 00:00:00,0.5,1
POINT(-7.19104107491884 40.8717511479272),2001-04-16 00:00:00,3.2,4
POINT(-7.19104107491884 41.201899058691),2001-04-16 00:00:00,0.3,1
POINT(-7.19104107491884 41.5320469694549),2001-04-16 00:00:00,1.5,2
POINT(-6.86089316415502 40.8717511479272),2001-04-16 00:00:00,0.5,1
POINT(-6.86089316415502 41.5320469694549),2001-04-16 00:00:00,0.1,1
POINT(-6.53074525339119 41.201899058691),2001-04-16 00:00:00,0.5,1
POINT(-9.50207645026561 38.5607157725804),2001-04-23 00:00:00,0.003,1
POINT(-9.50207645026561 38.8908636833443),2001-04-23 00:00:00,3.0715,5
POINT(-9.50207645026561 39.2210115941081),2001-04-23 00:00:00,0.5,1
POINT(-9.17192853950178 38.2305678618166),2001-04-23 00:00:00,1.11,3
POINT(-9.17192853950178 38.5607157725804),2001-04-23 00:00:00,0.082,2
POINT(-9.17192853950178 40.2114553263995),2001-04-23 00:00:00,0.02,1
