geometry;name;time;tipos_vias;f_atmosfericos;fleves;fgraves;mortos;f
9;FARO;15/02/2010 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;1
4;BRAGA;10/01/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;6
2;AVEIRO;24/12/2012 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
6;CASTELO BRANCO;10/01/2011 00:00;EN - Estrada Nacional;Bom tempo;1;1;0;1
9;FARO;03/03/2008 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;2
2;AVEIRO;11/01/2010 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
14;PORTO;13/09/2010 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;2
12;LISBOA;19/12/2011 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;2
2;AVEIRO;07/11/2011 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
14;PORTO;20/07/2009 00:00;EN - Estrada Nacional;Chuva;2;0;0;1
4;BRAGA;04/05/2009 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;1
6;CASTELO BRANCO;17/01/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
9;FARO;17/12/2007 00:00;IC - Itinerário Complementar;Bom tempo;1;0;0;1
12;LISBOA;08/12/2008 00:00;A  - Auto-Estrada;Chuva;3;0;0;1
6;CASTELO BRANCO;03/01/2011 00:00;A  - Auto-Estrada;Chuva;1;0;0;1
18;VILA REAL;17/01/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;1
4;BRAGA;16/06/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;9
3;BEJA;23/11/2009 00:00;EN - Estrada Nacional;Nevoeiro;1;1;0;1
4;BRAGA;31/08/2009 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;6
10;GUARDA;08/06/2009 00:00;EN - Estrada Nacional;Bom tempo;5;0;0;1
14;PORTO;26/03/2007 00:00;A  - Auto-Estrada;NÃO DEFINIDO;1;0;0;1
19;VISEU;23/04/2007 00:00;IP- Itinerário Principal;Bom tempo;1;0;0;1
9;FARO;09/08/2010 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;4
15;SANTAREM;25/10/2010 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;3
13;PORTALEGRE;17/01/2011 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;1
17;VIANA DO CASTELO;28/09/2009 00:00;EN - Estrada Nacional;Chuva;2;0;0;1
2;AVEIRO;05/02/2007 00:00;IC - Itinerário Complementar;Bom tempo;0;1;0;1
2;AVEIRO;09/06/2008 00:00;IC - Itinerário Complementar;Chuva;1;0;0;1
11;LEIRIA;10/01/2011 00:00;IC - Itinerário Complementar;Chuva;1;0;0;2
9;FARO;09/06/2008 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;2
9;FARO;05/02/2007 00:00;EN - Estrada Nacional;Chuva;1;0;0;2
13;PORTALEGRE;03/01/2011 00:00;EN - Estrada Nacional;Chuva;1;0;0;1
12;LISBOA;10/03/2008 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;5
12;LISBOA;14/09/2009 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;3
15;SANTAREM;25/06/2007 00:00;A  - Auto-Estrada;Bom tempo;0;1;0;1
14;PORTO;19/01/2009 00:00;A  - Auto-Estrada;Chuva;2;0;0;4
12;LISBOA;13/08/2007 00:00;EN - Estrada Nacional;Nevoeiro;1;0;0;1
17;VIANA DO CASTELO;25/06/2007 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;1
15;SANTAREM;20/04/2009 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;1
15;SANTAREM;10/08/2009 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;5
9;FARO;01/02/2010 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;2
14;PORTO;17/12/2012 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;6
8;EVORA;18/02/2008 00:00;ER - Estrada Regional;Chuva;1;0;1;1
12;LISBOA;05/11/2012 00:00;A  - Auto-Estrada;Bom tempo;3;0;0;1
12;LISBOA;18/02/2008 00:00;EN - Estrada Nacional;Chuva;1;0;0;3
7;COIMBRA;19/10/2009 00:00;IP- Itinerário Principal;Chuva;2;0;0;1
12;LISBOA;01/09/2008 00:00;IC - Itinerário Complementar;Bom tempo;0;0;1;1
7;COIMBRA;15/03/2010 00:00;EN - Estrada Nacional;Bom tempo;2;0;0;1
2;AVEIRO;29/01/2007 00:00;A  - Auto-Estrada;Bom tempo;1;0;0;2
9;FARO;19/05/2008 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;3
4;BRAGA;28/11/2011 00:00;EN - Estrada Nacional;Chuva;4;0;0;1
9;FARO;30/01/2012 00:00;EN - Estrada Nacional;Bom tempo;0;0;1;1
2;AVEIRO;21/11/2011 00:00;IC - Itinerário Complementar;Bom tempo;2;0;0;1
10;GUARDA;22/12/2008 00:00;EN - Estrada Nacional;Chuva;1;0;0;1
4;BRAGA;01/06/2009 00:00;A  - Auto-Estrada;Bom tempo;2;0;0;1
12;LISBOA;04/10/2010 00:00;IP- Itinerário Principal;Chuva;4;0;0;1
11;LEIRIA;25/04/2011 00:00;A  - Auto-Estrada;Chuva;2;0;0;1
8;EVORA;25/08/2008 00:00;EN - Estrada Nacional;Bom tempo;0;1;0;2
18;VILA REAL;20/12/2010 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
15;SANTAREM;25/07/2011 00:00;EN - Estrada Nacional;Bom tempo;1;0;0;2
14;PORTO;10/09/2012 00:00;EN - Estrada Nacional;Bom tempo;3;0;0;1
